,semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
373,2021_2,02,movel,8,7,1,286.69713973999023,42.60508728027344,17.132500171661377,0.0,0.8505000174045563,2.419999957084656
375,2021_2,03,movel,1,0,1,1.203565001487732,28.491455078125,72.0469970703125,6.0,30.016000747680664,0.9300000071525574
377,2021_2,04,movel,11,8,3,102.55744171142578,19.60736083984375,18.98449993133545,0.0,1.1655000001192093,2.029500037431717
379,2021_2,05,movel,68,6,62,62.518781661987305,30.531935691833496,11.72950029373169,0.0,0.4657500013709068,1.2864999771118164
381,2021_2,06,movel,4,0,4,109.03655280172823,61.256094455718994,21.98350024223328,50.0,1.0789999961853027,0.6720000058412552
383,2021_2,07,movel,5,2,3,51.63340377807617,9.191424369812012,28.112000465393063,52.0,0.5920000039041042,13.067000046372414
385,2021_2,08,movel,2,1,1,324.24920654296875,18.18700790405273,36.35800075531006,0.0,1.995499968528748,4.439000070095062
387,2021_2,09,movel,7,6,1,84.85958099365234,69.30548667907715,32.96350049972534,27.75,15.459500148892404,0.4570000022649765
389,2021_2,10,movel,11,9,2,39.61540699005127,13.98694396018982,12.968500137329102,0.0,0.6227500140666962,1.6455000042915344
391,2021_2,11,movel,48,8,40,38.315521240234375,38.84294414520264,6.056000232696533,0.0,0.4040000140666961,0.6859999895095825
393,2021_2,12,movel,9,0,9,74.91471481323242,29.439775466918945,22.029500007629395,50.0,0.4455000013113022,11.40850019454956
395,2021_2,13,movel,23,21,2,26.694187879562374,66.07238578796387,11.96875,29.0,0.3419999927282333,0.3212499991059303
397,2021_2,14,movel,12,7,5,56.41408157348633,20.142303466796875,16.43600082397461,0.0,0.621999979019165,2.0350000858306885
399,2021_2,15,movel,12,11,1,36.772536277771,36.11792945861816,27.623499870300293,0.0,0.5147500038146973,2.658500075340271
401,2021_2,16,movel,4,3,1,82.50204086303711,22.91654348373413,13.38599967956543,0.0,0.4149999916553497,0.9904999732971193
403,2021_2,17,movel,77,13,64,25.18730735778809,21.38112068176269,16.86750030517578,2.0,1.0947500318288803,1.2945000231266022
405,2021_2,18,movel,47,30,17,40.23712158203125,25.544063568115234,15.239999771118164,0.0,0.7599999904632568,0.8679999709129333
407,2021_2,19,movel,27,1,26,40.69658660888672,22.219679832458496,9.611499786376951,0.0,0.4510000050067901,1.3450000286102295
409,2021_2,20,movel,10,1,9,111.14495849609376,104.50943756103516,10.417999982833862,0.0,0.5129999965429306,0.6849999874830246
411,2021_2,21,movel,41,13,28,45.44443893432617,86.136962890625,9.494000434875488,0.0,1.830000042915344,2.013000011444092
413,2021_2,22,movel,98,32,66,111.52108764648438,36.35116958618164,32.33749866485596,0.0,1.0115000009536743,0.956000030040741
415,2021_2,23,movel,45,6,39,72.37439727783203,46.099199295043945,7.921000003814697,0.0,0.5139999985694885,1.449999988079071
417,2021_2,24,movel,73,47,26,82.88674926757812,16.785792350769043,14.822499752044678,0.0,0.4805000051856041,1.2044999599456787
419,2021_2,25,movel,34,2,32,30.69696044921875,41.53289604187012,7.448750019073486,1.0,0.6785000264644623,0.2897499948740005
421,2021_2,26,movel,31,14,17,36.73044180870056,9.266767710447311,19.149500489234924,0.0,0.8659999966621399,2.012000024318695
423,2021_2,27,movel,5,0,5,88.2471604347229,70.83366298675537,7.391499996185303,50.0,0.919999986886978,10.26200008392334
425,2021_2,28,movel,33,20,13,98.3845443725586,35.23925590515137,8.300999641418457,0.0,0.7459999918937683,0.7319999933242798
427,2021_2,29,movel,4,2,2,31.189672470092773,22.412736892700195,16.323999881744385,0.0,1.1699999570846558,2.2780001163482666
429,2021_2,30,movel,30,1,29,30.813440322875977,42.58127975463867,8.395500183105469,0.0,0.7669999897480011,0.8729999959468842
431,2021_2,31,movel,26,6,20,27.147191047668457,39.71009534597397,6.863999843597412,0.0,0.4270000010728836,0.8340000286698341
433,2021_2,32,movel,7,5,2,18.57788133621216,26.62824058532715,13.847000122070312,0.0,0.8679999709129333,1.805999994277954
435,2021_2,33,movel,11,0,11,65.9317479133606,47.89900779724121,9.713500022888184,1.0,0.5779999941587448,0.6934999972581863
437,2021_2,34,movel,32,7,25,10.97125792503357,11.762704141438007,13.97474980354309,0.0,1.186250001192093,1.99099999666214
439,2021_2,35,movel,25,9,16,19.530383110046387,13.738239765167236,15.813000202178957,0.0,1.3834999799728394,2.678499937057495
441,2021_2,36,movel,13,4,9,93.25922393798828,145.56053161621094,6.302500009536743,0.0,0.3209999948740005,0.3459999896585941
443,2021_2,37,movel,25,4,21,47.8745231628418,34.94601631164551,9.36324977874756,0.0,0.5170000046491623,0.940500020980835
445,2021_2,38,movel,31,15,16,13.398383617401125,9.112319707870483,15.847000122070312,0.0,0.8274999856948853,0.7725000083446503
447,2021_2,39,movel,10,8,2,98.14358520507812,39.74936103820801,10.19950008392334,3.0,0.7360000014305115,1.7964999675750732
449,2021_2,40,movel,7,4,3,30.570624828338623,4.217408061027527,14.86400032043457,1.0,3.112999975681305,2.9205000400543213
451,2021_2,41,movel,14,4,10,61.432350158691406,49.717247009277344,16.79075002670288,0.0,0.6380000114440918,0.8562500029802322
453,2021_2,42,movel,25,18,7,24.74849510192871,31.888160705566406,8.648499965667725,0.0,0.4227499961853027,1.1110000014305117
455,2021_2,43,movel,74,5,69,25.462318897247314,28.20585536956787,7.936500072479248,0.0,0.4534999877214432,1.902999997138977
457,2021_2,44,movel,16,1,15,63.66735076904297,42.97113609313965,8.08299994468689,0.0,0.5619999915361404,0.7459999918937683
459,2021_2,45,movel,13,9,4,72.38502502441406,51.23539161682129,11.448750019073486,0.0,1.289249986410141,0.7699999809265137
461,2021_2,46,movel,41,12,29,72.93203926086426,32.192832469940186,15.529249668121338,0.0,0.3587500005960464,0.9784999936819077
463,2021_2,47,movel,31,3,28,57.889235496521,25.29908800125122,6.271500110626221,0.0,0.763250008225441,0.93299999833107
465,2021_2,48,movel,30,15,15,60.78667163848877,52.7511682510376,15.049999713897703,0.0,0.702500008046627,1.202000007033348
467,2021_2,49,movel,10,4,6,14.317824363708496,22.69440078735352,17.747000217437744,0.0,1.652999997138977,1.727000057697296
469,2021_2,50,movel,6,1,5,6.171780109405518,2.4499199390411377,51.29100036621094,0.0,3.4119999408721924,9.739999771118164
471,2021_2,51,movel,10,0,10,84.78720092773438,50.6879997253418,9.49775004386902,0.0,0.5087500065565109,0.9902500063180923
474,2021_2,53,movel,6,5,1,151.97796630859375,22.98265647888184,20.20400047302246,0.0,0.4160000085830688,1.059999942779541
476,2021_2,54,movel,3,0,3,36.13452053070069,32.5152153968811,23.515750408172607,0.25,0.7482500001788139,2.774250004440546
478,2021_2,55,movel,13,5,8,34.70975875854492,40.494720458984375,6.76800012588501,0.0,0.4599999934434891,1.5759999752044678
480,2021_2,56,movel,6,1,5,22.75972557067871,14.538320362567902,8.892750024795532,0.0,0.546999990940094,1.8112500309944155
482,2021_2,57,movel,2,2,0,11.269481658935549,29.87680053710937,49.889498233795166,0.0,1.895000010728836,4.066499888896942
484,2021_2,58,movel,23,0,23,24.23079538345337,20.437535762786865,6.256750106811523,1.0,0.5552500039339066,0.5160000026226044
486,2021_2,59,movel,63,44,19,37.15639114379883,10.372991561889648,18.280999660491943,0.0,0.5262500047683716,1.2322500348091123
488,2021_2,60,movel,14,3,11,28.147390842437744,55.37196826934815,11.41800022125244,25.0,1.012000024318695,3.1040000915527344
490,2021_2,61,movel,5,2,3,26.111381769180294,19.440864086151123,11.854499816894531,0.0,0.4619999974966049,1.2709999978542328
492,2021_2,62,movel,44,31,13,89.22811126708984,79.01787185668945,10.701000094413756,0.0,0.6480000019073486,0.9425000250339508
494,2021_2,63,movel,12,9,3,42.46608257293701,36.241920471191406,9.253999710083008,0.0,0.210999995470047,0.9639999866485596
496,2021_2,64,movel,41,2,39,22.9039363861084,10.692864418029783,28.512250185012817,1.0,1.588000040501356,0.9474999904632568
498,2021_2,65,movel,15,1,14,47.10359954833984,10.327296257019045,10.34000015258789,0.0,0.5210000276565552,1.9880000352859497
500,2021_2,66,movel,21,8,13,24.688695907592773,19.298943519592285,10.945000171661375,0.0,0.5089999884366989,1.1115000247955322
502,2021_2,67,movel,10,7,3,43.87021106481552,52.25046348571777,5.955000162124634,0.0,0.3720000088214874,1.3949999809265137
504,2021_2,68,movel,31,8,23,28.1447868347168,27.13541603088379,10.541999816894531,0.0,0.7270000129938126,1.190999984741211
506,2021_2,69,movel,3,2,1,66.33464050292969,72.56524658203125,7.579999923706055,0.0,0.5860000252723694,1.1890000104904177
