,semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
99,2020_2,04,fixa,12282,4,12068,41.79007911682129,17.831504821777344,20.219250202178955,0.0,1.1992500126361847,1.659000039100647
100,2020_2,05,fixa,6946,1,6613,34.278324127197266,15.611858367919922,21.998499870300293,0.0,1.2294999957084656,1.870000004768372
101,2020_2,06,fixa,9359,722,8389,67.02454376220703,22.77124786376953,15.534000396728516,0.0,0.9175000041723252,1.3682500422000885
102,2020_2,07,fixa,17181,1428,15104,55.23543548583984,22.62385845184326,14.58199977874756,0.0,0.7599999904632568,1.0980000495910645
103,2020_2,08,fixa,5594,2,5394,74.1368637084961,24.756840705871586,14.933499813079834,0.0,0.8190000057220459,1.3389999866485596
104,2020_2,09,fixa,2890,0,2705,51.47311019897461,18.040472984313965,19.24350070953369,0.0,0.9100000262260436,1.550000011920929
105,2020_2,10,fixa,4718,0,4540,59.0714795589447,39.22942924499512,9.881500244140623,0.0,0.8877499997615814,0.972000002861023
106,2020_2,11,fixa,21433,0,21081,30.63562631607056,25.01324546337128,11.291999816894531,0.0,1.6345000267028809,1.2799999713897705
107,2020_2,12,fixa,4034,2,3506,54.46538925170898,19.4805908203125,17.38300085067749,0.0,0.8190000057220459,1.6540000140666962
108,2020_2,13,fixa,13339,5,12829,38.22283172607422,18.7797966003418,18.57399964332581,0.0,1.3650000095367432,1.7980000376701355
109,2020_2,14,fixa,1913,1,1754,52.31629180908203,20.054248809814453,17.388999938964844,0.0,0.9395000040531158,1.5490000247955322
110,2020_2,15,fixa,3981,3,3676,53.14727592468262,19.51929473876953,19.222000122070312,0.0,1.093000054359436,1.7419999837875366
111,2020_2,16,fixa,8324,3,7738,55.09478378295898,18.27728796005249,19.149500846862797,0.0,1.149999976158142,1.88400000333786
112,2020_2,17,fixa,20107,4,19269,34.97952842712402,20.71243667602539,12.664999961853027,0.0,1.2597499936819077,1.5604999661445618
